GENESIS-Tabelle: 23131-0001
Krankenhauspatienten: Deutschland, Jahre,;;;;;;;;;;;
Hauptdiagnose ICD-10 (1-3-Steller Hierarchie);;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;
Deutschland;;;;;;;;;;;
Gestorbene Patienten (Anzahl);;;;;;;;;;;
;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
ICD10-F89;    Nicht näher bezeichnete Entwicklungsstörung;-;-;-;-;-;-;1;-;-;-
ICD10-F90-F98;  Verhaltens-u.emot.Störungen/Beginn Kindheit u.Jgd.;1;1;1;3;1;1;2;2;3;2
ICD10-F90;    Hyperkinetische Störungen;-;-;1;-;-;-;1;-;-;1
ICD10-F91;    Störungen des Sozialverhaltens;1;1;-;1;-;-;1;-;1;1
ICD10-F92;    Komb. Störungen d.Sozialverhaltens u.d.Emotionen;-;-;-;1;1;-;-;1;1;-
ICD10-F93;    Emotionale Störungen des Kindesalters;-;-;-;1;-;-;-;-;1;-
ICD10-F94;    Stör. sozialer Funkt.m. Beginn i.d.Kindh.u.Jugend;-;-;-;-;-;-;-;-;-;-
ICD10-F95;    Ticstörungen;-;-;-;-;-;-;-;-;-;-
ICD10-F98;    And. Verhaltens- u.emotion. Stör.i.d.Kindh./Jugend;-;-;-;-;-;1;-;1;-;-
ICD10-F99-F99;  Nicht näher bezeichnete psychische Störungen;-;1;-;-;-;-;-;-;-;-
ICD10-F99;    Psychische Störung ohne nähere Angabe;-;1;-;-;-;-;-;-;-;-
ICD10-G00-G99;Krankheiten des Nervensystems;6151;6292;6196;6509;6758;6663;7286;7172;7525;7806
ICD10-G00-G09;  Entzündliche Krankheiten des Zentralnervensystems;396;406;425;404;409;405;463;514;455;577
ICD10-G00;    Bakterielle Meningitis, ao. nicht klassifiziert;128;112;103;112;94;99;118;138;97;145
ICD10-G01;    Meningitis bei ao. Klass. bakteriellen Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-G02;    Meningitis b.sonst. ao.klass. infekt./parasit. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-G03;    Meningitis durch sonst. u. n.n.bez. Ursachen;24;25;27;23;30;29;25;23;24;35
ICD10-G04;    Enzephalitis, Myelitis, Enzephalomyelitis;132;120;142;151;133;131;152;158;145;184
ICD10-G05;    Enzephalitis,Myelitis,Enzephalomyelitis b.ao.kl.Kh;-;-;-;-;-;-;-;-;-;-
ICD10-G06;    Intrakranielle u.intraspinale Abszesse u.Granulome;105;134;137;110;140;136;161;178;174;195
ICD10-G07;    Intrakran.u.intraspin.Absz.u.Granulome b.ao.kl.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-G08;    Intrakran.u.intraspin.Phlebitis u.Thrombophlebitis;6;15;16;8;12;10;7;17;15;18
ICD10-G09;    Folgen entzündlicher Kh. des Zentralnervensystems;1;-;-;-;-;-;-;-;-;-
ICD10-G10-G14;  Systematrophien, vorw.d.Zentralnervensystem betr.;378;411;421;433;458;435;467;458;469;485
ICD10-G10;    Chorea Huntington;12;17;14;15;16;23;20;20;16;22
ICD10-G11;    Hereditäre Ataxie;6;7;8;8;7;7;9;11;10;7
ICD10-G12;    Spinale Muskelatrophie und verwandte Syndrome;360;387;399;410;435;405;438;427;443;456
ICD10-G13;    Systematroph.,vorw.Zentralnervens.betr.b.ao.kl.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-G14;    Postpolio-Syndrom;-;-;-;-;-;-;-;-;-;-
ICD10-G20-G26;  Extrapyramidale Krankheiten und Bewegungsstörungen;563;586;521;571;623;597;701;635;671;749
ICD10-G20;    Primäres Parkinson-Syndrom;480;485;438;480;524;508;597;516;550;614
ICD10-G21;    Sekundäres Parkinson-Syndrom;39;50;32;26;39;22;34;37;30;35
ICD10-G22;    Parkinson-Syndrom b.anderenorts klass. Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-G23;    Sonstige degenerative Krankheiten der Basalganglie;27;22;19;33;32;31;39;58;61;69
ICD10-G24;    Dystonie;3;4;6;9;7;8;3;8;2;5
ICD10-G25;    Sonst. extrapyramidale Kh. und Bewegungsstörungen;14;25;26;23;21;28;28;16;28;26
ICD10-G26;    Extrapyramidale Kh.u.Bewegungsstör. b.ao.klass.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-G30-G32;  Sonst. degenerative Krankheiten des Nervensystems;367;331;311;317;335;317;309;361;397;432
ICD10-G30;    Alzheimer-Krankheit;298;259;252;258;268;249;242;286;305;333
ICD10-G31;    Sonst.degenerative Kh.d.Nervensystems,ao.n.klass.;69;72;59;59;67;68;67;75;92;99
ICD10-G32;    Sonst.degenerative Kh.d.Nervensys.,b.ao.klass.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-G35-G37;  Demyelinisierende Kh. des Zentralnervensystems;79;94;75;69;65;70;72;72;84;82
ICD10-G35;    Multiple Sklerose (Encephalomyelitis disseminata);62;79;62;54;54;58;55;54;75;70
ICD10-G36;    Sonstige akute disseminierte Demyelinisation;4;3;5;2;2;1;6;6;1;-
ICD10-G37;    Sonst.demyelinisierende Kh. d.Zentralnervensystems;13;12;8;13;9;11;11;12;8;12
ICD10-G40-G47;  Episodische und paroxysmale Kh. des Nervensystems;2567;2708;2650;2976;2986;2991;3156;2967;3258;3265
ICD10-G40;    Epilepsie;1279;1292;1370;1447;1434;1488;1529;1431;1527;1554
ICD10-G41;    Status epilepticus;847;966;901;1141;1145;1150;1251;1220;1356;1379
ICD10-G43;    Migräne;-;-;2;1;1;2;-;1;-;-
ICD10-G44;    Sonstige Kopfschmerzsyndrome;1;6;-;1;2;7;3;4;3;3
ICD10-G45;    Zerebr. transitorische Ischämie u.verwandte Syndr.;430;430;364;378;395;337;364;296;360;313
ICD10-G46;    Zerebrale Gefäßsyndrome bei zerebrovaskulären Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-G47;    Schlafstörungen;10;14;13;8;9;7;9;15;12;16
ICD10-G50-G59;  Kh. von Nerven, Nervenwurzeln und Nervenplexus;34;48;38;51;52;49;46;49;39;39
ICD10-G50;    Krankheiten des N. trigeminus (V. Hirnnerv);7;13;3;12;11;10;13;16;11;6
ICD10-G51;    Krankheiten des N. facialis (VII. Hirnnerv);7;10;17;13;13;17;11;12;12;8
ICD10-G52;    Krankheiten sonstiger Hirnnerven;1;6;1;3;5;4;5;1;4;3
ICD10-G53;    Krankheiten der Hirnnerven bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-G54;    Krankheiten von Nervenwurzeln und Nervenplexus;8;7;3;11;8;8;6;5;2;8
ICD10-G55;    Kompress.v.Nervenwurzeln u.Nervenplexus,b.ao.kl.Kh;-;-;-;-;-;-;-;-;-;-
ICD10-G56;    Mononeuropathien der oberen Extremität;2;3;6;3;6;3;6;5;3;2
ICD10-G57;    Mononeuropathien der unteren Extremität;5;2;5;5;6;3;1;4;5;6
ICD10-G58;    Sonstige Mononeuropathien;4;7;3;4;3;4;4;6;2;6
ICD10-G59;    Mononeuropathie b. ao. klassifizierten Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-G60-G64;  Polyneuropathien u.sonst. Kh. d.periph. Nervensys.;318;375;365;400;514;488;632;654;659;701
ICD10-G60;    Hereditäre und idiopathische Neuropathie;3;2;5;-;4;3;6;5;4;6
ICD10-G61;    Polyneuritis;64;61;71;66;69;62;91;67;79;95
ICD10-G62;    Sonstige Polyneuropathien;251;312;289;334;441;422;535;582;576;600
ICD10-G63;    Polyneuropathie b. ao. klassifizierten Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-G64;    Sonstige Krankheiten des peripheren Nervensystems;-;-;-;-;-;1;-;-;-;-
ICD10-G70-G73;  Kh. im Bereich d.neuromuskul. Synapse u.d.Muskels;114;115;107;108;143;130;168;138;167;178
ICD10-G70;    Myasthenia gravis und sonstige neuromuskuläre Kh.;61;62;61;57;79;73;102;72;113;106
ICD10-G71;    Primäre Myopathien;40;34;28;33;43;31;34;39;31;35
ICD10-G72;    Sonstige Myopathien;13;19;18;18;21;26;32;27;23;37
ICD10-G73;    Kh. im Bereich d.neuromuskul. Synapse u.d.Muskels;-;-;-;-;-;-;-;-;-;-
ICD10-G80-G83;  Zerebrale Lähmung und sonstige Lähmungssyndrome;203;199;191;176;189;174;185;229;200;191
ICD10-G80;    Infantile Zerebralparese;2;3;2;1;1;6;1;2;3;6
ICD10-G81;    Hemiparese und Hemiplegie;52;64;46;40;47;39;51;55;59;53
ICD10-G82;    Paraparese u.Tetraplegie,Tetraparese u.Tetraplegie;125;103;123;106;121;107;110;140;115;114
ICD10-G83;    Sonstige Lähmungssyndrome;24;29;20;29;20;22;23;32;23;18
ICD10-G90-G99;  Sonstige Krankheiten des Nervensystems;1132;1019;1092;1004;984;1007;1087;1095;1126;1107
ICD10-G90;    Krankheiten des autonomen Nervensystems;31;23;32;36;27;24;25;-;4;2
ICD10-G91;    Hydrozephalus;102;77;107;114;102;96;101;97;94;104
ICD10-G92;    Toxische Enzephalopathie;12;7;11;15;11;4;4;5;8;9
ICD10-G93;    Sonstige Krankheiten des Gehirns;938;858;878;779;809;834;913;943;959;926
ICD10-G94;    Sonstige Krankheiten des Gehirns b.ao.klass.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-G95;    Sonstige Krankheiten des Rückenmarkes;23;23;31;35;17;26;28;26;31;41
ICD10-G96;    Sonstige Krankheiten des Zentralnervensystems;9;10;10;9;5;11;2;9;8;9
ICD10-G97;    Kh. des Nervensystems nach medizinischen Maßnahmen;16;21;22;15;13;12;13;14;22;16
ICD10-G98;    Sonst. Kh. d. Nervensystems, ao. nicht klass.;1;-;1;1;-;-;1;1;-;-
ICD10-G99;    Sonst. Kh. d. Nervensystems b. ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-H00-H59;Krankheiten des Auges und der Augenanhangsgebilde;94;87;92;97;102;89;88;87;69;97
ICD10-H00-H06;  Affekt. d.Augenlides, d.Tränenapparates u.d.Orbita;9;9;7;12;6;11;7;5;8;29
ICD10-H00;    Hordeolum und Chalazion;-;-;-;-;2;-;1;-;1;-
ICD10-H01;    Sonstige Entzündung des Augenlides;-;-;-;-;-;-;-;-;-;-
ICD10-H02;    Sonstige Affektionen des Augenlides;4;5;1;4;2;2;-;1;2;20
ICD10-H03;    Affektionen des Augenlides bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-H04;    Affektionen des Tränenapparates;1;3;1;5;1;1;1;2;2;2
ICD10-H05;    Affektionen der Orbita;4;1;5;3;1;8;5;2;3;7
ICD10-H06;    Affektionen d.Tränenapp.u.d.Orbita b.ao.klass.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-H10-H13;  Affektionen der Konjunktiva;1;1;2;-;2;1;-;2;5;1
ICD10-H10;    Konjunktivitis;1;-;-;-;2;1;-;2;3;-
ICD10-H11;    Sonstige Affektionen der Konjunktiva;-;1;2;-;-;-;-;-;2;1
ICD10-H13;    Affektionen d. Konjunktiva b. ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-H15-H22;  Affektionen v.Sklera,Hornhaut,Iris u.Ziliarkörper;19;23;16;23;20;16;25;17;13;17
ICD10-H15;    Affektionen der Sklera;-;-;-;1;-;-;-;-;-;-
ICD10-H16;    Keratitis;15;19;14;19;17;15;21;16;8;14
ICD10-H17;    Hornhautnarben und -trübungen;-;-;-;-;-;-;-;-;-;-
ICD10-H18;    Sonstige Affektionen der Hornhaut;2;2;1;1;1;-;1;1;4;3
ICD10-H19;    Affektionen der Sklera und der Hornhaut;-;-;-;-;-;-;-;-;-;-
ICD10-H20;    Iridozyklitis;2;1;1;2;1;-;3;-;1;-
ICD10-H21;    Sonstige Affektionen der Iris u. des Ziliarkörpers;-;1;-;-;1;1;-;-;-;-
ICD10-H22;    Affektionen d.Iris u.d.Ziliarkörpers b.ao.kl.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-H25-H28;  Affektionen der Linse;18;14;19;12;24;17;14;18;8;12
ICD10-H25;    Cataracta senilis;14;12;16;8;20;15;13;14;8;10
ICD10-H26;    Sonstige Kataraktformen;-;2;3;4;4;2;1;3;-;1
ICD10-H27;    Sonstige Affektionen der Linse;4;-;-;-;-;-;-;1;-;1
ICD10-H28;    Katarakt u.sonst.Affektionen d.Linse b.ao.kl.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-H30-H36;  Affektionen der Aderhaut und der Netzhaut;17;17;21;13;21;11;19;20;12;16
ICD10-H30;    Chorioretinitis;1;1;-;-;2;-;-;-;-;-
ICD10-H31;    Sonstige Affektionen der Aderhaut;-;-;-;-;-;-;-;-;-;1
ICD10-H32;    Chorioretinale Affektionen bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-H33;    Netzhautablösung und Netzhautriss;8;4;3;3;7;4;5;4;2;4
ICD10-H34;    Netzhautgefäßverschluss;6;4;10;9;8;4;11;10;8;6
ICD10-H35;    Sonstige Affektionen der Netzhaut;2;8;8;1;4;3;3;6;2;5
ICD10-H36;    Affektionen der Netzhaut bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-H40-H42;  Glaukom;8;6;11;15;15;6;5;10;5;2
ICD10-H40;    Glaukom;8;6;11;15;15;6;5;10;5;2
ICD10-H42;    Glaukom bei ao. klassifizierten Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-H43-H45;  Affektionen des Glaskörpers und des Augapfels;8;10;7;9;6;11;9;7;5;7
ICD10-H43;    Affektionen des Glaskörpers;1;2;3;2;3;2;2;2;1;2
ICD10-H44;    Affektionen des Augapfels;7;8;4;7;3;9;7;5;4;5
ICD10-H45;    Affektionen des Glaskörpers und des Augapfels;-;-;-;-;-;-;-;-;-;-
ICD10-H46-H48;  Affektionen des N. opticus und der Sehbahn;5;3;2;2;3;4;3;2;4;3
ICD10-H46;    Neuritis nervi optici;-;1;-;-;-;-;-;-;-;-
ICD10-H47;    Sonst.Affekt.d. N.opticus(II.Hirnnerv) u.d.Sehbahn;5;2;2;2;3;4;3;2;4;3
ICD10-H48;    Affektionen d. N.opticus (II. Hirnnerv)u.d.Sehbahn;-;-;-;-;-;-;-;-;-;-
ICD10-H49-H52;  Affekt.d.Augenmuskels,Stör.d.Blickbewegung u.Ä.;5;4;3;7;2;4;2;4;5;7
ICD10-H49;    Strabismus paralyticus;4;4;3;7;2;4;2;4;4;7
ICD10-H50;    Sonstiger Strabismus;-;-;-;-;-;-;-;-;-;-
ICD10-H51;    Sonstige Störungen der Blickbewegungen;1;-;-;-;-;-;-;-;1;-
ICD10-H52;    Akkommodationsstörungen und Refraktionsfehler;-;-;-;-;-;-;-;-;-;-
ICD10-H53-H54;  Sehstörungen und Blindheit;4;-;3;4;3;5;4;2;3;1
ICD10-H53;    Sehstörungen;3;-;2;3;2;4;1;2;3;1
ICD10-H54;    Blindheit und Sehschwäche;1;-;1;1;1;1;3;-;-;-
ICD10-H55-H59;  Sonst. Affekt. d. Auges u.d. Augenanhangsgebilde;-;-;1;-;-;3;-;-;1;2
ICD10-H55;    Nystagmus und sonstige abnorme Augenbewegungen;-;-;-;-;-;-;-;-;-;-
ICD10-H57;    Sonst. Affekt. d. Auges u.d. Augenanhangsgebilde;-;-;-;-;-;3;-;-;1;1
ICD10-H58;    Sonst.Affekt.d.Auges u.d.Augenanhangsg.b.ao.kl.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-H59;    Affekt.d.Auges u.d.Augenanhangsgeb.n.med.Maßnahmen;-;-;1;-;-;-;-;-;-;1
ICD10-H60-H95;Krankheiten des Ohres und des Warzenfortsatzes;37;40;41;32;44;46;36;43;39;186
ICD10-H60-H62;  Krankheiten des äußeren Ohres;4;5;9;4;7;4;2;9;4;16
ICD10-H60;    Otitis externa;4;3;8;3;6;4;2;7;4;7
ICD10-H61;    Sonstige Krankheiten des äußeren Ohres;-;2;1;1;1;-;-;2;-;9
ICD10-H62;    Krankheiten des äußeren Ohres bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-H65-H75;  Kh. des Mittelohres und des Warzenfortsatzes;13;8;11;7;10;15;7;12;16;118
ICD10-H65;    Nichteitrige Otitis media;-;-;1;-;3;3;4;1;1;6
ICD10-H66;    Eitrige und nicht näher bezeichnete Otitis media;4;3;5;2;2;3;1;5;7;51
ICD10-H67;    Otitis media bei ao. klassifizierten Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-H68;    Entzündung und Verschluss der Tuba auditiva;-;-;-;-;-;-;-;-;-;12
ICD10-H69;    Sonstige Krankheiten der Tuba auditiva;-;-;-;-;-;-;-;-;-;1
ICD10-H70;    Mastoiditis und verwandte Zustände;6;3;4;4;4;6;2;5;4;11
ICD10-H71;    Cholesteatom des Mittelohres;1;2;1;1;1;1;-;1;3;3
ICD10-H72;    Trommelfellperforation;1;-;-;-;-;-;-;-;-;1
ICD10-H73;    Sonstige Krankheiten des Trommelfells;-;-;-;-;-;1;-;-;-;-
ICD10-H74;    Sonst. Kh. des Mittelohres u. des Warzenfortsatzes;1;-;-;-;-;1;-;-;1;33
ICD10-H75;    Sonst.Kh.d.Mittelohres u.d.Warzenforts.b.ao.kl.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-H80-H83;  Krankheiten des Innenohres;15;21;15;13;20;19;23;18;16;40
ICD10-H80;    Otosklerose;-;-;-;-;-;-;-;-;-;11
ICD10-H81;    Störungen der Vestibularfunktion;15;21;14;13;20;19;23;18;15;28
ICD10-H82;    Schwindelsyndrome bei ao. Klass. Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-H83;    Sonstige Krankheiten des Innenohres;-;-;1;-;-;-;-;-;1;1
ICD10-H90-H95;  Sonstige Krankheiten des Ohres;5;6;6;8;7;8;4;4;3;12
ICD10-H90;    Hörverlust d.Schalleitungs-/Schallempfindungsstör.;-;-;1;-;3;-;1;1;1;2
ICD10-H91;    Sonstiger Hörverlust;3;5;4;5;3;8;2;2;2;2
ICD10-H92;    Otalgie und Ohrenfluss;-;1;1;-;-;-;-;1;-;1
ICD10-H93;    Sonstige Krankheiten des Ohres, ao. nicht klass.;2;-;-;1;1;-;-;-;-;1
ICD10-H94;    Sonst. Kh des Ohres bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-H95;    Kh.d.Ohres u.d.Warzenfortsatzes nach med.Maßnahmen;-;-;-;2;-;-;1;-;-;6
ICD10-I00-I99;Krankheiten des Kreislaufsystems;125115;123284;120121;120616;122255;118354;123905;121001;121651;120318
ICD10-I00-I02;  Akutes rheumatisches Fieber;26;24;10;15;15;13;16;19;33;26
ICD10-I00;    Rheumatisches Fieber o. Angabe einer Herzbeteilig.;5;-;1;-;-;2;-;-;1;1
ICD10-I01;    Rheumatisches Fieber mit Herzbeteiligung;21;24;9;15;15;11;16;19;32;25
ICD10-I02;    Rheumatische Chorea;-;-;-;-;-;-;-;-;-;-
ICD10-I05-I09;  Chronische rheumatische Herzkrankheiten;343;342;332;367;317;285;301;317;266;225
ICD10-I05;    Rheumatische Mitralklappenkrankheiten;44;36;34;38;31;28;34;49;43;25
ICD10-I06;    Rheumatische Aortenklappenkrankheiten;22;17;11;13;5;10;15;12;3;2
ICD10-I07;    Rheumatische Trikuspidalklappenkrankheiten;27;21;18;39;27;22;28;30;29;28
ICD10-I08;    Krankheiten mehrerer Herzklappen;247;268;269;277;254;224;223;226;191;170
ICD10-I09;    Sonstige rheumatische Herzkrankheiten;3;-;-;-;-;1;1;-;-;-
ICD10-I10-I15;  Hypertonie (Hochdruckkrankheit);731;719;703;665;707;629;664;631;629;655
ICD10-I10;    Essentielle (primäre) Hypertonie;405;403;433;425;449;404;415;378;357;383
ICD10-I11;    Hypertensive Herzkrankheit;229;221;183;144;152;112;140;134;128;97
ICD10-I12;    Hypertensive Nierenkrankheit;9;3;6;2;10;4;3;5;3;5
ICD10-I13;    Hypertensive Herz- und Nierenkrankheit;83;89;78;91;93;107;106;111;140;169
ICD10-I15;    Sekundäre Hypertonie;5;3;3;3;3;2;-;3;1;1
ICD10-I20-I25;  Ischämische Herzkrankheiten;25553;24165;22997;22729;22881;21500;21401;20478;20369;19893
ICD10-I20;    Angina pectoris;1218;1060;936;840;869;833;843;729;723;722
ICD10-I21;    Akuter Myokardinfarkt;22208;21068;20162;20021;20033;18812;18613;17833;17840;17437
ICD10-I22;    Rezidivierender Myokardinfarkt;170;123;89;63;73;65;84;49;57;48
ICD10-I23;    Best. akute Komplikationen n.akutem Myokardinfarkt;99;94;55;62;60;60;57;56;66;53
ICD10-I24;    Sonstige akute ischämische Herzkrankheit;145;112;118;92;77;79;77;77;78;72
ICD10-I25;    Chronische ischämische Herzkrankheit;1713;1708;1637;1651;1769;1651;1727;1734;1605;1561
ICD10-I26-I28;  Pulmonale Herzkrankheit u. Kh.d. Lungenkreislaufes;6526;6181;5766;5743;5861;5434;5524;5148;5012;4999
ICD10-I26;    Lungenembolie;6062;5759;5371;5376;5483;5107;5178;4769;4630;4626
ICD10-I27;    Sonstige pulmonale Herzkrankheiten;460;418;393;365;370;323;345;376;376;367
ICD10-I28;    Sonstige Krankheiten der Lungengefäße;4;4;2;2;8;4;1;3;6;6
ICD10-I30-I52;  Sonstige Formen der Herzkrankheit;51103;50931;50828;51694;53287;52422;56837;55685;56430;56167
ICD10-I30;    Akute Perikarditis;30;22;24;18;38;15;29;25;26;30
ICD10-I31;    Sonstige Krankheiten des Perikards;200;224;202;252;263;255;252;236;266;271
ICD10-I32;    Perikarditis bei ao. klassifizierten Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-I33;    Akute und subakute Endokarditis;746;748;818;929;961;1053;1105;1221;1353;1503
ICD10-I34;    Nichtrheumatische Mitralklappenkrankheiten;449;470;479;521;586;630;648;667;638;652
ICD10-I35;    Nichtrheumatische Aortenklappenkrankheiten;2117;2252;2415;2595;2546;2468;2474;2517;2410;2404
ICD10-I36;    Nichtrheumatische Trikuspidalklappenkrankheiten;35;46;38;69;67;54;67;79;97;86
ICD10-I37;    Pulmonalklappenkrankheiten;7;4;2;5;5;6;8;1;8;5
ICD10-I38;    Endokarditis, Herzklappekh. nicht näher bezeichnet;120;117;122;118;122;147;140;165;135;105
ICD10-I39;    Endokarditis u. Herzklappenkh. bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-I40;    Akute Myokarditis;47;35;38;46;59;27;34;50;46;65
ICD10-I41;    Myokarditis bei ao. klassifizierten Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-I42;    Kardiomyopathie;772;766;761;777;749;756;678;745;631;594
ICD10-I43;    Kardiomyopathie b. ao. klassifizierten Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-I44;    Atrioventrikulärer Block und Linksschenkelblock;695;727;724;702;750;733;799;834;801;889
ICD10-I45;    Sonstige kardiale Erregungsleitungsstörungen;84;101;86;86;107;99;95;72;87;96
ICD10-I46;    Herzstillstand;4022;4039;4037;4473;4450;4412;5655;5976;5962;6112
ICD10-I47;    Paroxysmale Tachykardie;575;637;626;621;731;727;709;838;787;743
ICD10-I48;    Vorhofflimmern und Vorhofflattern;1764;1914;1861;2034;2122;1861;2096;1971;2027;1985
ICD10-I49;    Sonstige kardiale Arrhythmien;2516;2576;2616;2748;2903;2944;2927;2910;2864;3025
ICD10-I50;    Herzinsuffizienz;36839;36152;35852;35593;36717;36122;38990;37245;38088;37417
ICD10-I51;    Komplikat.einer Herzkh. u. ungenau beschr. Herzkh.;85;101;127;107;111;113;131;133;204;185
ICD10-I52;    Sonstige Herzkh. b. anderenorts klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-I60-I69;  Zerebrovaskuläre Krankheiten;28944;28716;27847;27746;27362;26669;27664;27480;27810;27386
ICD10-I60;    Subarachnoidalblutung;1640;1639;1543;1448;1418;1432;1549;1500;1468;1491
ICD10-I61;    Intrazerebrale Blutung;7171;7316;7208;7340;7204;7487;7973;7792;7948;7734
ICD10-I62;    Sonstige nichttraumatische intrakranielle Blutung;680;726;796;771;932;971;931;978;921;957
ICD10-I63;    Hirninfarkt;16700;16528;16212;16395;16181;15363;15955;16094;16473;16315
ICD10-I64;    Schlaganfall,nicht als Blutung o.Infarkt bezeichn.;1579;1430;1130;946;807;658;521;397;321;237
ICD10-I65;    Verschl.u.Stenose präzerebral.Art. ohne Hirninf.;619;534;500;432;416;405;387;378;383;374
ICD10-I66;    Verschl.u.Stenose zerebral.Art. ohne Hirninfarkt;26;34;27;28;42;17;28;27;44;29
ICD10-I67;    Sonstige zerebrovaskuläre Krankheiten;520;502;420;379;345;329;309;293;236;231
ICD10-I68;    Zerebrovaskuläre Störungen bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-I69;    Folgen einer zerebrovaskulären Krankheit;9;7;11;7;17;7;11;21;16;18
ICD10-I70-I79;  Kh. der Arterien, Arteriolen und Kapillaren;10558;10896;10418;10412;10700;10346;10471;10180;10099;9965
ICD10-I70;    Atherosklerose;5158;5451;5134;5151;5427;5070;5112;5007;4909;4855
ICD10-I71;    Aortenaneurysma und -dissektion;2831;2847;2758;2759;2712;2828;2906;2850;2950;2854
ICD10-I72;    Sonstiges Aneurysma;205;250;220;232;216;226;251;259;263;285
ICD10-I73;    Sonstige periphere Gefäßkrankheiten;51;60;40;45;45;38;26;24;22;25
ICD10-I74;    Arterielle Embolie und Thrombose;2210;2184;2145;2105;2188;2059;2044;1900;1798;1793
ICD10-I77;    Sonstige Krankheiten der Arterien und Arteriolen;93;97;116;111;107;116;125;128;152;142
ICD10-I78;    Krankheiten der Kapillaren;10;7;5;9;5;9;7;12;5;11
ICD10-I79;    Krankheiten der Arterien, Arteriolen u. Kapillaren;-;-;-;-;-;-;-;-;-;-
ICD10-I80-I89;  Kh. d.Venen,Lymphgefäße.u.Lymphknoten.,ao.n.klass.;1146;1131;1052;1031;909;885;830;863;780;794
ICD10-I80;    Phlebitis und Thrombophlebitis;465;445;419;398;413;388;334;333;276;223
ICD10-I81;    Pfortaderthrombose;30;35;40;47;25;42;45;46;48;35
ICD10-I82;    Sonstige venöse Embolie und Thrombose;71;63;73;46;40;38;43;37;22;38
ICD10-I83;    Varizen der unteren Extremitäten;194;219;192;199;178;216;210;192;200;229
ICD10-I84;    Hämorrhoiden;53;65;53;69;-;-;-;-;-;-
ICD10-I85;    Ösophagusvarizen;245;220;189;174;147;119;97;115;111;86
ICD10-I86;    Varizen sonstiger Lokalisationen;24;20;29;26;23;22;27;19;23;33
ICD10-I87;    Sonstige Venenkrankheiten;32;38;30;35;45;27;35;85;68;105
ICD10-I88;    Unspezifische Lymphadenitis;4;-;5;1;2;2;1;-;1;3
ICD10-I89;    Sonst. nichtinfekt. Kh. d. Lymphgefäße/-knoten;28;26;22;36;36;31;38;36;31;42
ICD10-I95-I99;  Sonst. u. n.n.bez. Krankheiten d. Kreislaufsystems;185;179;168;214;216;171;197;200;223;208
ICD10-I95;    Hypotonie;146;149;139;189;180;139;177;176;205;189
ICD10-I97;    Kreislaufkomplikationen nach med.Maßn.,ao.n.klass.;26;23;21;15;23;21;13;12;12;11
ICD10-I98;    Sonst. Störungen d. Kreislaufsystems b.ao.kl.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-I99;    Sonst. u. nicht näher bez. Kh. d. Kreislaufsystems;13;7;8;10;13;11;7;12;6;8
ICD10-J00-J99;Krankheiten des Atmungssystems;56907;53986;53066;54932;61135;53252;62254;58363;63199;66924
ICD10-J00-J06;  Akute Infektionen der oberen Atemwege;79;55;62;67;73;67;97;80;97;90
ICD10-J00;    Akute Rhinopharyngitis (Erkältungsschnupfen);1;-;-;-;-;-;2;-;1;-
